H,電力需給調整力取引所取引結果,対象年月日,取引年月日,商品区分,ブロック数,,,,,,,
B07,追加調達結果,応札量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
B07,追加調達結果,約定量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
B07,合計（確報値）,応札件数（電源属地別）[件],1,1,1,13,0,3,1,13,2,35
B07,合計（確報値）,約定件数（電源属地別）[件],1,0,0,1,0,0,1,7,2,12
B07,合計（確報値）,応札量合計（電源属地別）[MW],298.94,6,26.096,1167.667,0,356.542,59,453,165,2532.245
B07,合計（確報値）,約定量合計（電源属地別）[MW],298.94,0,0,23,0,0,59,194,165,739.94
B08,システム約定結果,応札件数（電源属地別）[件],1,1,2,2,0,0,1,10,2,19
B08,システム約定結果,落札件数（電源属地別）[件],0,0,0,0,0,0,1,2,2,5
B08,システム約定結果,応札量合計（電源属地別）[MW],12,39,309.716,155.66,0,0,27,194,29,766.376
B08,システム約定結果,落札量合計（電源属地別）[MW],0,0,0,0,0,0,27,33,29,89
B08,追加調達結果,応札件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
B08,追加調達結果,約定件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
B08,追加調達結果,応札量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
B08,追加調達結果,約定量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
B08,合計（確報値）,応札件数（電源属地別）[件],1,1,2,2,0,0,1,10,2,19
B08,合計（確報値）,約定件数（電源属地別）[件],0,0,0,0,0,0,1,2,2,5
B08,合計（確報値）,応札量合計（電源属地別）[MW],12,39,309.716,155.66,0,0,27,194,29,766.376
B08,合計（確報値）,約定量合計（電源属地別）[MW],0,0,0,0,0,0,27,33,29,89
E,,,,,,,,,,,,
